2020-05-01,0.0,0.0,0.0,0.0,0.0,0.0,AAVE,https://www.cryptocompare.com/media/37071994/aave.png,Aave
2020-05-02,0.0,0.0,0.0,0.0,0.0,0.0,AAVE,https://www.cryptocompare.com/media/37071994/aave.png,Aave
2020-05-03,0.0,0.0,0.0,0.0,0.0,0.0,AAVE,https://www.cryptocompare.com/media/37071994/aave.png,Aave
2020-05-04,0.0,0.0,0.0,0.0,0.0,0.0,AAVE,https://www.cryptocompare.com/media/37071994/aave.png,Aave
2020-05-05,0.0,0.0,0.0,0.0,0.0,0.0,AAVE,https://www.cryptocompare.com/media/37071994/aave.png,Aave
2020-05-06,0.0,0.0,0.0,0.0,0.0,0.0,AAVE,https://www.cryptocompare.com/media/37071994/aave.png,Aave
2020-05-07,0.0,0.0,0.0,0.0,0.0,0.0,AAVE,https://www.cryptocompare.com/media/37071994/aave.png,Aave
2020-05-08,0.0,0.0,0.0,0.0,0.0,0.0,AAVE,https://www.cryptocompare.com/media/37071994/aave.png,Aave
2020-05-09,0.0,0.0,0.0,0.0,0.0,0.0,AAVE,https://www.cryptocompare.com/media/37071994/aave.png,Aave
2020-05-10,0.0,0.0,0.0,0.0,0.0,0.0,AAVE,https://www.cryptocompare.com/media/37071994/aave.png,Aave
2020-05-11,0.0,0.0,0.0,0.0,0.0,0.0,AAVE,https://www.cryptocompare.com/media/37071994/aave.png,Aave
2020-05-12,0.0,0.0,0.0,0.0,0.0,0.0,AAVE,https://www.cryptocompare.com/media/37071994/aave.png,Aave
2020-05-13,0.0,0.0,0.0,0.0,0.0,0.0,AAVE,https://www.cryptocompare.com/media/37071994/aave.png,Aave
2020-05-14,0.0,0.0,0.0,0.0,0.0,0.0,AAVE,https://www.cryptocompare.com/media/37071994/aave.png,Aave
2020-05-15,0.0,0.0,0.0,0.0,0.0,0.0,AAVE,https://www.cryptocompare.com/media/37071994/aave.png,Aave
2020-05-16,0.0,0.0,0.0,0.0,0.0,0.0,AAVE,https://www.cryptocompare.com/media/37071994/aave.png,Aave
2020-05-17,0.0,0.0,0.0,0.0,0.0,0.0,AAVE,https://www.cryptocompare.com/media/37071994/aave.png,Aave
2020-05-18,0.0,0.0,0.0,0.0,0.0,0.0,AAVE,https://www.cryptocompare.com/media/37071994/aave.png,Aave
2020-05-19,0.0,0.0,0.0,0.0,0.0,0.0,AAVE,https://www.cryptocompare.com/media/37071994/aave.png,Aave
2020-05-20,0.0,0.0,0.0,0.0,0.0,0.0,AAVE,https://www.cryptocompare.com/media/37071994/aave.png,Aave
2020-05-21,0.0,0.0,0.0,0.0,0.0,0.0,AAVE,https://www.cryptocompare.com/media/37071994/aave.png,Aave
2020-05-22,0.0,0.0,0.0,0.0,0.0,0.0,AAVE,https://www.cryptocompare.com/media/37071994/aave.png,Aave
2020-05-23,0.0,0.0,0.0,0.0,0.0,0.0,AAVE,https://www.cryptocompare.com/media/37071994/aave.png,Aave
2020-05-24,0.0,0.0,0.0,0.0,0.0,0.0,AAVE,https://www.cryptocompare.com/media/37071994/aave.png,Aave
2020-05-25,0.0,0.0,0.0,0.0,0.0,0.0,AAVE,https://www.cryptocompare.com/media/37071994/aave.png,Aave
2020-05-26,0.0,0.0,0.0,0.0,0.0,0.0,AAVE,https://www.cryptocompare.com/media/37071994/aave.png,Aave
2020-05-27,0.0,0.0,0.0,0.0,0.0,0.0,AAVE,https://www.cryptocompare.com/media/37071994/aave.png,Aave
2020-05-28,0.0,0.0,0.0,0.0,0.0,0.0,AAVE,https://www.cryptocompare.com/media/37071994/aave.png,Aave
2020-05-29,0.0,0.0,0.0,0.0,0.0,0.0,AAVE,https://www.cryptocompare.com/media/37071994/aave.png,Aave
2020-05-30,0.0,0.0,0.0,0.0,0.0,0.0,AAVE,https://www.cryptocompare.com/media/37071994/aave.png,Aave
2020-05-31,0.0,0.0,0.0,0.0,0.0,0.0,AAVE,https://www.cryptocompare.com/media/37071994/aave.png,Aave
2020-06-01,0.0,0.0,0.0,0.0,0.0,0.0,AAVE,https://www.cryptocompare.com/media/37071994/aave.png,Aave
2020-06-02,0.0,0.0,0.0,0.0,0.0,0.0,AAVE,https://www.cryptocompare.com/media/37071994/aave.png,Aave
2020-06-03,0.0,0.0,0.0,0.0,0.0,0.0,AAVE,https://www.cryptocompare.com/media/37071994/aave.png,Aave
2020-06-04,0.0,0.0,0.0,0.0,0.0,0.0,AAVE,https://www.cryptocompare.com/media/37071994/aave.png,Aave
2020-06-05,0.0,0.0,0.0,0.0,0.0,0.0,AAVE,https://www.cryptocompare.com/media/37071994/aave.png,Aave
2020-06-06,0.0,0.0,0.0,0.0,0.0,0.0,AAVE,https://www.cryptocompare.com/media/37071994/aave.png,Aave
2020-06-07,0.0,0.0,0.0,0.0,0.0,0.0,AAVE,https://www.cryptocompare.com/media/37071994/aave.png,Aave
2020-06-08,0.0,0.0,0.0,0.0,0.0,0.0,AAVE,https://www.cryptocompare.com/media/37071994/aave.png,Aave
2020-06-09,0.0,0.0,0.0,0.0,0.0,0.0,AAVE,https://www.cryptocompare.com/media/37071994/aave.png,Aave
2020-06-10,0.0,0.0,0.0,0.0,0.0,0.0,AAVE,https://www.cryptocompare.com/media/37071994/aave.png,Aave
